"id","ItemID","ServingName","ServingSize"
"1","1","Kleine Portion","250"
"2","1","Mittelgrosse Portion","350"
"3","1","Grosse Portion","450"
"4","2","Kleine Scheibe","60"
"5","2","Mittelgrosse Scheibe","85"
"6","2","Grosse Scheibe","125"
"7","3","Kleine Scheibe","60"
"8","3","Mittelgrosse Scheibe","85"
"9","3","Grosse Scheibe","125"
"10","4","Kleines Glas","200"
"11","4","Mittelgrosses Glas","300"
"12","4","Grosses Glas","500"
"13","5","Eine Handvoll","30"
"14","6","Kleiner Apfel","125"
"15","6","Mittelgrosser Apfel","175"
"16","6","Grosser Apfel","225"
"17","7","Kleines Stück","60"
"18","7","Mittelgrosses Stück","85"
"19","7","Grosses Stück","125"
"20","8","Kleine Portion","125"
"21","8","Mittelgrosse Portion","175"
"22","8","Grosse Portion","225"
"23","9","Kleine Portion","125"
"24","9","Mittelgrosse Portion","175"
"25","9","Grosse Portion","225"
"26","10","Kleines Glas","200"
"27","10","Mittelgrosses Glas","300"
"28","10","Grosses Glas","500"
"29","11","Kleine Aprikose","35"
"30","11","Mittelgrosse Aprikose","45"
"31","11","Grosse Aprikose","60"
"32","12","Kleines Stück","60"
"33","12","Mittelgrosses Stück","85"
"34","12","Grosses Stück","125"
"35","13","Kleine Avocado","125"
"36","13","Mittelgrosse Avocado","175"
"37","13","Grosse Avocado","225"
"38","14","Eine handvoll Scheiben","35"
"39","15","Eine handvoll Scheiben","35"
"40","16","Kleine Banane","100"
"41","16","Mittelgrosse Banane","140"
"42","16","Grosse Banane","170"
"43","17","Ein Stück","30"
"44","17","Drei Stück","90"
"45","18","Kleine Scheibe","40"
"46","18","Mittelgrosse Scheibe","60"
"47","18","Grosse Scheibe","80"
"48","19","Eine Handvoll","30"
"49","22","Ein Stück","70"
"50","24","Kleines Bierglas","300"
"51","24","Grosses Bierglas","500"
"52","25","Kleines Bierglas","300"
"53","25","Grosses Bierglas","500"
"54","26","Kleines Bierglas","300"
"55","26","Grosses Bierglas","500"
"56","27","Kleine Portion","200"
"57","27","Mittelgrosse Portion","300"
"58","27","Grosse Portion","400"
"59","28","Kleine Birne","125"
"60","28","Mittelgrosse Birne","175"
"61","28","Grosse Birne","225"
"62","29","Kleines Glas","200"
"63","29","Mittelgrosses Glas","300"
"64","29","Grosses Glas","500"
"65","30","Kleines Stück","90"
"66","30","Mittelgrosses Stück","135"
"67","30","Grosses Stück","180"
"68","31","Kleines Stück","250"
"69","31","Mittelgrosses Stück","400"
"70","31","Grosses Stück","500"
"71","35","Eine Handvoll","30"
"72","36","Eine Portion","300"
"73","37","Ein Stück","50"
"74","38","Ein Stück","50"
"75","39","Ein Stück","50"
"76","40","Mittelgrosses Glas","300"
"77","40","Grosses Glas","500"
"78","41","Ein Stück","50"
"79","42","Eine Scheibe","50"
"80","43","Eine Scheibe","50"
"81","44","Eine Tasse","200"
"82","46","Eine Tasse","200"
"83","49","1 Stück","10"
"84","49","2 Stück","20"
"85","49","3 Stück","30"
"86","50","Ein Stück","200"
"87","51","Eine Portion","50"
"88","52","Eine Portion","30"
"89","53","Ein Stück","100"
"90","54","Ein Stück","100"
"91","55","Ein Stück","100"
"92","56","Ein Stück","100"
"93","57","1 Stück","10"
"94","59","Mittelgrosse Portion","350"
"95","61","Ein kleines Glas","50"
"96","61","Ein mittelgrosses Glas","100"
"97","62","Mittelgrosses Glas","300"
"98","62","Grosses Glas","500"
"99","63","Ein Stück","100"
"100","64","Eine Portion","90"
"101","65","Eine Portion","90"
"102","66","ca. 8 Stück","125"
"103","67","Eine Handvoll","40"
"104","68","Kleine Portion","30"
"105","68","Grosse Portion","50"
"106","69","Eine Handvoll","40"
"107","70","1 Esslöffel","20"
"108","70","2 Esslöffel","40"
"109","71","4 Stück","100"
"110","71","6 Stück","150"
"111","71","8 Stück","200"
"112","72","Ein Stück","50"
"113","73","Ein Stück","25"
"114","74","Ein Stück","50"
"115","77","1/4 Stück","50"
"116","77","1/2 Stück","100"
"117","78","4 Fischstäbchen","100"
"118","78","6 Fischstäbchen","150"
"119","78","8 Fischstäbchen","200"
"120","79","4 Fischstäbchen","100"
"121","79","6 Fischstäbchen","150"
"122","79","8 Fischstäbchen","200"
"123","80","1/4 Flammkuchen","75"
"124","80","1/2 Flammkuchen","150"
"125","80","1 Flammkuchen","300"
"126","83","Eine kleine Dose","150"
"127","84","Eine kleine Dose","150"
"128","85","Kleines Glas","200"
"129","85","Mittelgrosses Glas","300"
"130","86","Ein Stück","150"
"131","87","1 Stück","70"
"132","87","2 Stück","140"
"133","87","4 Stück","280"
"134","89","Eine Portion","400"
"135","90","Eine Portion","110"
"136","93","Ein Stück","200"
"137","94","Ein Stück","200"
"138","95","Eine Portion","200"
"139","96","Ein Stück","150"
"140","97","Ein kleiner Grittibänz","100"
"141","97","Ein mittelgrosser Grittibänz","150"
"142","98","Ein Stück","100"
"143","99","Kleines Glas","200"
"144","99","Mittelgrosses Glas","300"
"145","99","Grosses Glas","500"
"146","100","Eine Portion","150"
"147","101","Ein Stück","100"
"148","102","Eine Portion","200"
"149","103","1 Scheibe","50"
"150","104","Kleines Glas","200"
"151","104","Mittelgrosses Glas","300"
"152","104","Grosses Glas","500"
"153","105","Eine Scheibe","50"
"154","106","Ein kleines Bonbon","5"
"155","106","Ein grosses Bonbon","10"
"156","109","Eine kleine Schüssel","120"
"157","110","Eine kleine Schüssel","120"
"158","111","Eine kleine Schüssel","120"
"159","113","Eine Schüssel","90"
"160","114","Als Beilage","50"
"161","114","Als Hauptgericht","100"
"162","116","Eine Handvoll","50"
"163","117","1 Teelöffel","7"
"164","117","2 Teelöffel","14"
"165","118","Kleines Brötchen","63"
"166","118","Grosses Brötchen","90"
"167","119","Eine Schüssel","200"
"168","121","Eine Portion","60"
"169","123","Eine Portion","150"
"170","124","Eine Portion","150"
"171","125","Eine Portion","150"
"172","126","Eine Portion","150"
"173","127","Eine Handvoll","50"
"174","128","Eine Handvoll","50"
"175","129","Ein Stück","150"
"176","131","Eine Portion","120"
"177","132","Eine Portion","120"
"178","133","Kleines Glas","200"
"179","133","Mittelgrosses Glas","300"
"180","133","Grosses Glas","500"
"181","134","Eine Portion","170"
"182","137","Eine Portion","200"
"183","138","Ein Stück","150"
"184","139","Ein Stück","150"
"185","140","Ein Stück","100"
"186","141","Ein Stück","200"
"187","143","Eine Portion","85"
"188","146","Eine Handvoll","70"
"189","147","Ein Stück","150"
"190","148","Ein Stück","150"
"191","149","Ein Stück","75"
"192","150","Ein Stück","40"
"193","151","Ein Stück","40"
"194","152","Ein Stück","40"
"195","162","1/4 Kokosnuss","170"
"196","164","Kleines Glas","200"
"197","164","Mittelgrosses Glas","300"
"198","164","Grosses Glas","500"
"199","165","1 Esslöffel","20"
"200","166","1 Esslöffel","20"
"201","167","Eine Scheibe","150"
"202","169","Kleines Glas","200"
"203","169","Mittelgrosses Glas","300"
"204","169","Grosses Glas","500"
"205","173","Ein Stück","50"
"206","174","Ein Stück","50"
"207","175","Ein Stück","30"
"208","176","Ein Stück","50"
"209","177","Kleines Glas","200"
"210","177","Mittelgrosses Glas","300"
"211","177","Grosses Glas","500"
"212","182","Ein Stück","150"
"213","183","Ein Stück","10"
"214","188","1 Stück","12"
"215","188","2 Stück","24"
"216","188","4 Stück","48"
"217","190","Eine Portion","120"
"218","191","Eine Portion","120"
"219","196","Ein Stück","100"
"220","199","Ein Stück","100"
"221","200","Ein Stück","100"
"222","203","Kleines Glas","200"
"223","203","Mittelgrosses Glas","300"
"224","203","Grosses Glas","500"
"225","205","Eine Portion","200"
"226","206","Kleines Glas","200"
"227","206","Mittelgrosses Glas","300"
"228","206","Grosses Glas","500"
"229","208","Ein Stück","150"
"230","209","Ein Stück","50"
"231","210","Ein Stück","50"
"232","211","Ein Stück","50"
"233","212","Ein Stück","150"
"234","213","Kleines Glas","200"
"235","213","Mittelgrosses Glas","300"
"236","213","Grosses Glas","500"
"237","214","Ein Stück","200"
"238","217","1/2 Pariserbrot","150"
"239","217","1/4 Pariserbrot","75"
"240","218","Ein Stück","50"
"241","224","Ein Stück","150"
"242","225","Ein Stück","150"
"243","226","Ein Stück","150"
"244","236","20 Stück","30"
"245","258","Ein kleiner Rettich","150"
"246","259","Eine Portion","150"
"247","262","Eine Portion","170"
"248","263","Eine Portion","170"
"249","271","Eine Portion (2 Esslöffel)","30"
"250","277","Ein Stück","150"
"251","278","Zwei Eier","100"
"252","279","Eine Portion","150"
"253","281","Ein Glas","150"
"254","282","1 Stück","50"
"255","282","2 Stück","100"
"256","282","4 Stück","200"
"257","284","Ein Stück","50"
"258","285","Eine von 6 Reihen","17"
"259","286","Eine von 6 Reihen","17"
"260","287","Ein Stück","150"
"261","289","Ein Stück","150"
"262","291","4 Stück","60"
"263","293","Kleines Glas","200"
"264","293","Mittelgrosses Glas","300"
"265","293","Grosses Glas","500"
"266","300","6 Spargeln","160"
"267","301","6 Spargeln","160"
"268","302","Eine Portion","125"
"269","303","Eine Portion","125"
"270","304","Ein Stück","75"
"271","306","Eine Stange","75"
"272","308","Eine Portion","175"
"273","309","Eine Portion","200"
"274","311","Eine Portion","200"
"275","313","Eine Portion","150"
"276","316","Eine Scheibe","50"
"277","317","Eine kleine Scheibe","25"
"278","317","Eine mittelgrosse Scheibe","30"
"279","317","Eine grosse Scheibe","35"
"280","318","Eine kleine Scheibe","25"
"281","318","Eine mittelgrosse Scheibe","30"
"282","318","Eine grosse Scheibe","35"
"283","319","Eine kleine Scheibe","25"
"284","319","Eine mittelgrosse Scheibe","30"
"285","319","Eine grosse Scheibe","35"
"286","323","Eine Tomate","60"
"287","324","Eine getrocknete Tomate","10"
"288","325","Kleine Tomate","100"
"289","325","Grosse Tomate","200"
"290","327","Kleines Glas","200"
"291","329","Eine Portion","250"
"292","330","4 Stück","30"
"293","330","6 Stück","50"
"294","331","Kleines Glas","200"
"295","331","Mittelgrosses Glas","300"
"296","332","1 Stück","4"
"297","332","2 Stück","8"
"298","332","4 Stück","16"
"299","333","1 Stück","12"
"300","333","2 Stück","24"
"301","334","Kleines Glas","200"
"302","334","Mittelgrosses Glas","300"
"303","334","Grosses Glas","500"
"304","335","Kleines Glas","200"
"305","335","Mittelgrosses Glas","300"
"306","335","Grosses Glas","500"
"307","340","Eine Scheibe","50"
"308","354","1 Stück","15"
"309","354","2 Stück","30"
"310","354","4 Stück","60"
"311","358","Ein Stück","150"
"312","359","Ein Stück","150"
"313","360","Ein Stück","150"
"314","361","1 Scheibe","60"
"315","361","2 Scheiben","120"
"316","361","4 Scheiben","240"
"317","362","1 Würfel","10"
"318","362","2 Würfel","20"
"319","363","1 Würfel","10"
"320","363","2 Würfel","20"
"321","364","Eine Portion","125"
"322","365","1 Scheibe","120"
"323","376","Mittelgrosses Glas","300"
"324","376","Grosses Glas","500"
"325","377","Mittelgrosses Glas","300"
"326","377","Grosses Glas","500"
"327","378","Kleines Glas","200"
"328","378","Mittelgrosses Glas","300"
"329","378","Grosses Glas","500"
"330","379","Kleines Glas","200"
"331","379","Mittelgrosses Glas","300"
"332","379","Grosses Glas","500"
"333","380","Kleines Glas","200"
"334","380","Mittelgrosses Glas","300"
"335","380","Grosses Glas","500"
"336","381","Mittelgrosses Glas","300"
"337","381","Grosses Glas","500"
"338","382","Kleiner Hamburger","102"
"339","383","Ein Burger","227"
"340","384","Ein Burger","291"
"341","385","Ein Cheesburger","206"
"342","386","Ein Burger","289"
"343","387","Ein Burger","273"
"344","388","Burger","370"
"345","389","Ein kleiner Cheesburger","116"
"346","390","Ein Burger","166"
"347","391","Ein Burger","193"
"348","392","4 Stück","70"
"349","392","6 Stück","105"
"350","392","9 Stück","158"
"351","393","Eine Portion","143"
"352","394","Portion Mini","80"
"353","394","Portion Small","114"
"354","394","Portion Medium","150"
"355","395","Ein Burger","132"
"356","396","Small","158"
"357","396","Regular","235"
"358","397","Small","205"
"359","397","Regular","257"
"360","398","1 Becher","224"
"361","399","Regular","189"
"362","399","Maxi","271"
"363","400","Regular","184"
"364","400","Maxi","200"
"365","401","Regular","155"
"366","401","Maxi","220"
"367","402","Small","225"
"368","402","Regular","400"
"369","403","Small","225"
"370","403","Regular","400"
"371","404","Small","225"
"372","404","Regular","400"
"373","405","Ein Stück","80"
"374","406","Short","237"
"375","406","Tall","354"
"376","406","Grande","473"
"377","406","Venti","591"
"378","407","Ganze Pizza 24cm","320"
"379","408","Eine Tasse","200"
"380","409","Kleines Glas","200"
"381","409","Mittelgrosses Glas","300"
"382","409","Grosses Glas","500"
"383","410","Eine Dose","330"
"384","411","Eine Dose","330"
"385","412","Eine Dose","330"
"386","413","Kleines Bierglas","300"
"387","413","Grosses Bierglas","500"
"388","414","Eine kleine Schüssel","40"
"389","414","Eine grosse Schüssel","80"
"390","415","Eine kleine Schüssel","40"
"391","415","Eine grosse Schüssel","80"
"416","0","ServingName","0"
